fips,stock_jan1,entries,exits,year,entry_rate,exit_rate,definition
01001,29,3,2,2006,0.10344827586206896,0.06896551724137931,E1 store
01003,77,7,4,2006,0.09090909090909091,0.05194805194805195,E1 store
01005,25,4,4,2006,0.16,0.16,E1 store
01007,12,0,1,2006,0.0,0.08333333333333333,E1 store
01009,20,0,0,2006,0.0,0.0,E1 store
01011,11,1,1,2006,0.09090909090909091,0.09090909090909091,E1 store
01013,25,1,2,2006,0.04,0.08,E1 store
01015,93,16,8,2006,0.17204301075268819,0.08602150537634409,E1 store
01017,24,7,4,2006,0.2916666666666667,0.16666666666666666,E1 store
01019,22,3,2,2006,0.13636363636363635,0.09090909090909091,E1 store
01021,26,1,2,2006,0.038461538461538464,0.07692307692307693,E1 store
01023,25,1,1,2006,0.04,0.04,E1 store
01025,37,2,3,2006,0.05405405405405406,0.08108108108108109,E1 store
01027,8,1,1,2006,0.125,0.125,E1 store
01029,10,1,0,2006,0.1,0.0,E1 store
01031,23,0,1,2006,0.0,0.043478260869565216,E1 store
01033,41,3,3,2006,0.07317073170731707,0.07317073170731707,E1 store
01035,23,0,0,2006,0.0,0.0,E1 store
01037,8,0,1,2006,0.0,0.125,E1 store
01039,47,3,3,2006,0.06382978723404255,0.06382978723404255,E1 store
01041,22,0,1,2006,0.0,0.045454545454545456,E1 store
01043,58,1,1,2006,0.017241379310344827,0.017241379310344827,E1 store
01045,27,2,3,2006,0.07407407407407407,0.1111111111111111,E1 store
01047,48,3,2,2006,0.0625,0.041666666666666664,E1 store
01049,58,6,6,2006,0.10344827586206896,0.10344827586206896,E1 store
01051,30,3,2,2006,0.1,0.06666666666666667,E1 store
01053,29,3,1,2006,0.10344827586206896,0.034482758620689655,E1 store
01055,67,10,7,2006,0.14925373134328357,0.1044776119402985,E1 store
01057,11,2,2,2006,0.18181818181818182,0.18181818181818182,E1 store
01059,20,2,3,2006,0.1,0.15,E1 store
01061,22,0,1,2006,0.0,0.045454545454545456,E1 store
01063,14,0,0,2006,0.0,0.0,E1 store
01065,10,3,2,2006,0.3,0.2,E1 store
01067,15,0,0,2006,0.0,0.0,E1 store
01069,73,5,2,2006,0.0684931506849315,0.0273972602739726,E1 store
01071,36,5,2,2006,0.1388888888888889,0.05555555555555555,E1 store
01073,303,66,29,2006,0.21782178217821782,0.09570957095709572,E1 store
01075,14,0,2,2006,0.0,0.14285714285714285,E1 store
01077,53,7,4,2006,0.1320754716981132,0.07547169811320754,E1 store
01079,19,2,0,2006,0.10526315789473684,0.0,E1 store
01081,39,5,3,2006,0.1282051282051282,0.07692307692307693,E1 store
01083,40,4,3,2006,0.1,0.075,E1 store
01085,14,2,3,2006,0.14285714285714285,0.21428571428571427,E1 store
01087,11,2,2,2006,0.18181818181818182,0.18181818181818182,E1 store
01089,140,18,15,2006,0.12857142857142856,0.10714285714285714,E1 store
01091,24,3,3,2006,0.125,0.125,E1 store
01093,24,1,3,2006,0.041666666666666664,0.125,E1 store
01095,64,4,3,2006,0.0625,0.046875,E1 store
01097,353,54,34,2006,0.1529745042492918,0.09631728045325778,E1 store
01099,31,3,2,2006,0.0967741935483871,0.06451612903225806,E1 store
01101,142,21,15,2006,0.14788732394366197,0.1056338028169014,E1 store
01103,55,9,6,2006,0.16363636363636364,0.10909090909090909,E1 store
01105,22,3,1,2006,0.13636363636363635,0.045454545454545456,E1 store
01107,19,1,3,2006,0.05263157894736842,0.15789473684210525,E1 store
01109,34,3,2,2006,0.08823529411764706,0.058823529411764705,E1 store
01111,20,2,3,2006,0.1,0.15,E1 store
01113,40,5,4,2006,0.125,0.1,E1 store
01115,42,3,4,2006,0.07142857142857142,0.09523809523809523,E1 store
01117,54,4,7,2006,0.07407407407407407,0.12962962962962962,E1 store
01119,18,3,3,2006,0.16666666666666666,0.16666666666666666,E1 store
01121,51,11,5,2006,0.21568627450980393,0.09803921568627451,E1 store
01123,23,1,2,2006,0.043478260869565216,0.08695652173913043,E1 store
01125,98,9,7,2006,0.09183673469387756,0.07142857142857142,E1 store
01127,49,2,8,2006,0.04081632653061224,0.16326530612244897,E1 store
01129,20,2,3,2006,0.1,0.15,E1 store
01131,29,2,2,2006,0.06896551724137931,0.06896551724137931,E1 store
01133,20,1,0,2006,0.05,0.0,E1 store
02013,6,2,0,2006,0.3333333333333333,0.0,E1 store
02016,6,0,0,2006,0.0,0.0,E1 store
02020,73,6,0,2006,0.0821917808219178,0.0,E1 store
02050,60,2,1,2006,0.03333333333333333,0.016666666666666666,E1 store
02060,2,0,0,2006,0.0,0.0,E1 store
02068,0,0,0,2006,,,E1 store
02070,8,1,0,2006,0.125,0.0,E1 store
02090,17,1,1,2006,0.058823529411764705,0.058823529411764705,E1 store
02100,3,0,0,2006,0.0,0.0,E1 store
02105,1,0,0,2006,0.0,0.0,E1 store
02110,8,0,0,2006,0.0,0.0,E1 store
02122,33,2,3,2006,0.06060606060606061,0.09090909090909091,E1 store
02130,10,0,0,2006,0.0,0.0,E1 store
02150,16,0,1,2006,0.0,0.0625,E1 store
02158,28,1,1,2006,0.03571428571428571,0.03571428571428571,E1 store
02164,10,2,2,2006,0.2,0.2,E1 store
02170,33,3,4,2006,0.09090909090909091,0.12121212121212122,E1 store
02180,26,1,2,2006,0.038461538461538464,0.07692307692307693,E1 store
02185,11,0,0,2006,0.0,0.0,E1 store
02188,21,1,1,2006,0.047619047619047616,0.047619047619047616,E1 store
02195,1,0,0,2006,0.0,0.0,E1 store
02198,1,1,1,2006,1.0,1.0,E1 store
02220,4,0,0,2006,0.0,0.0,E1 store
02240,8,0,1,2006,0.0,0.125,E1 store
02275,2,0,0,2006,0.0,0.0,E1 store
02282,3,0,1,2006,0.0,0.3333333333333333,E1 store
02290,37,0,2,2006,0.0,0.05405405405405406,E1 store
04001,53,2,4,2006,0.03773584905660377,0.07547169811320754,E1 store
04003,84,7,4,2006,0.08333333333333333,0.047619047619047616,E1 store
04005,59,5,5,2006,0.0847457627118644,0.0847457627118644,E1 store
04007,42,2,3,2006,0.047619047619047616,0.07142857142857142,E1 store
04009,20,2,2,2006,0.1,0.1,E1 store
04011,9,1,1,2006,0.1111111111111111,0.1111111111111111,E1 store
04012,21,3,1,2006,0.14285714285714285,0.047619047619047616,E1 store
04013,1465,165,130,2006,0.11262798634812286,0.08873720136518772,E1 store
