fips,state,county20,county24,pop2020,pop_lila,pop_lowinc,pop_urban,pov_x_pop,pop_pov_ok,la_pop,snap_hh,ohu,hunv,n_tracts,n_lila_tracts,pop_lila_drive,lila_pop_share,low_access_pop_share,lowinc_pop_share,urban_pop_share,poverty_rate,snap_hh_share,no_vehicle_hh_share,lila_pop_share_drive,st
01001,Alabama,Autauga County,Autauga County,58805,0.0,13284,29652,661916.4,58805,2597,2116.0,22412,947.0,17,0.0,3409.0,0.0,0.044162911317064873,0.22589915823484397,0.5042428364934954,11.256124479210952,0.09441370694270926,0.04225414956273425,0.057971260947198365,AL
01003,Alabama,Baldwin County,Baldwin County,231767,16745.0,36985,109032,2320535.5,231767,31066,6568.0,93116,2644.0,43,4.0,20975.0,0.07224928484210436,0.13403978996146992,0.15957836965573183,0.4704379829742802,10.012363710105408,0.07053567593109669,0.028394690493577904,0.09050037321965594,AL
01005,Alabama,Barbour County,Barbour County,25223,0.0,20727,6813,556908.7,25223,889,1943.0,9677,958.0,9,0.0,6813.0,0.0,0.03524560916623717,0.8217499900884113,0.2701106133291044,22.0793997541926,0.20078536736591918,0.09899762323033998,0.2701106133291044,AL
01007,Alabama,Bibb County,Bibb County,22293,0.0,19659,0,501801.4,22293,19,1592.0,7927,418.0,8,0.0,0.0,0.0,0.0008522854707755798,0.8818463194724802,0.0,22.509370654465528,0.2008325974517472,0.0527311719439889,0.0,AL
01009,Alabama,Blount County,Blount County,59134,0.0,19226,0,782192.2,59134,0,2731.0,22367,897.0,16,0.0,0.0,0.0,0.0,0.32512598505090134,0.0,13.22745290357493,0.12209952161666741,0.04010372423659856,0.0,AL
01011,Alabama,Bullock County,Bullock County,10357,0.0,10357,0,355219.4,10357,243,1255.0,3928,367.0,4,0.0,2321.0,0.0,0.023462392584725305,1.0,0.0,34.29751858646326,0.3195010183299389,0.09343177189409368,0.22409964275369315,AL
01013,Alabama,Butler County,Butler County,19051,2526.0,16321,3937,424642.19999999995,19051,781,1312.0,8170,451.0,9,1.0,2526.0,0.13259146501495986,0.040995223347855755,0.8567004356726681,0.2066558185921999,22.28975906776547,0.1605875152998776,0.05520195838433292,0.13259146501495986,AL
01015,Alabama,Calhoun County,Calhoun County,116441,7464.0,53664,71513,2219601.6,116431,9035,8057.0,46437,2875.0,38,2.0,31639.0,0.06410113276251492,0.07759294406609356,0.4608685943954449,0.6141565256224182,19.06366517508224,0.1735038869866701,0.06191183754333829,0.2717170068961964,AL
01017,Alabama,Chambers County,Chambers County,34772,4489.0,23596,13240,547736.5,34772,2247,2184.0,14238,983.0,9,1.0,13240.0,0.12909812492810308,0.06462095939261475,0.678591970551018,0.38076613367076956,15.75222880478546,0.15339233038348082,0.06904059558926816,0.38076613367076956,AL
01019,Alabama,Cherokee County,Cherokee County,24971,0.0,11927,0,370137.0,24971,0,1121.0,10411,283.0,8,0.0,0.0,0.0,0.0,0.4776340555043851,0.0,14.82267430219054,0.10767457496878302,0.02718278743636538,0.0,AL
01021,Alabama,Chilton County,Chilton County,45014,0.0,12795,11794,631806.7000000001,45014,2897,2613.0,17302,471.0,12,0.0,3348.0,0.0,0.06435775536499756,0.2842449015861732,0.26200737548318304,14.035782201092994,0.15102300312102648,0.027222286440873888,0.07437686053227885,AL
01023,Alabama,Choctaw County,Choctaw County,12665,0.0,6411,0,214703.0,12665,51,823.0,5675,460.0,4,0.0,3628.0,0.0,0.004026845637583893,0.5061981839715752,0.0,16.95246742992499,0.14502202643171805,0.08105726872246696,0.28645874457165416,AL
01025,Alabama,Clarke County,Clarke County,23087,0.0,15757,0,460365.0,23087,239,1983.0,9662,979.0,9,0.0,0.0,0.0,0.010352146229479794,0.6825053060163728,0.0,19.940442673365965,0.20523701097081348,0.10132477747878287,0.0,AL
01027,Alabama,Clay County,Clay County,14236,0.0,6145,0,251779.4,14236,0,828.0,5926,339.0,4,0.0,0.0,0.0,0.0,0.43165214948019104,0.0,17.686105647653836,0.13972325345933176,0.057205534930813366,0.0,AL
01029,Alabama,Cleburne County,Cleburne County,15056,0.0,3523,0,205311.90000000002,15056,0,867.0,6054,337.0,4,0.0,0.0,0.0,0.0,0.2339930924548353,0.0,13.636550212539852,0.14321110009910804,0.055665675586389164,0.0,AL
01031,Alabama,Coffee County,Coffee County,53465,0.0,25407,25167,878564.6,53465,4462,2417.0,21263,843.0,16,0.0,4877.0,0.0,0.08345646684747031,0.4752080800523707,0.47071916206864306,16.43251847002712,0.11367163617551615,0.03964633400743075,0.09121855419433274,AL
01033,Alabama,Colbert County,Colbert County,57227,0.0,20375,30701,993034.5,57227,1017,3515.0,24425,1111.0,15,0.0,5150.0,0.0,0.01777133171405106,0.35603823370087545,0.5364775368270223,17.352552117007708,0.14390992835209826,0.04548618219037871,0.08999248606427036,AL
01035,Alabama,Conecuh County,Conecuh County,11597,0.0,10125,0,324093.69999999995,11597,672,882.0,5066,254.0,5,0.0,4019.0,0.0,0.057946020522548936,0.8730706217125118,0.0,27.946339570578594,0.1741018555073036,0.05013817607579945,0.3465551435716133,AL
01037,Alabama,Coosa County,Coosa County,10387,0.0,3697,0,142745.1,10387,61,716.0,4451,266.0,3,0.0,0.0,0.0,0.005872725522287475,0.35592567632617694,0.0,13.742668720516031,0.16086272747697147,0.05976185126937767,0.0,AL
01039,Alabama,Covington County,Covington County,37570,0.0,18878,2923,723119.1,37570,607,2082.0,15515,915.0,14,0.0,1373.0,0.0,0.01615650785200958,0.5024753792919883,0.07780143731700825,19.247247804099015,0.13419271672574928,0.05897518530454399,0.03654511578387011,AL
01041,Alabama,Crenshaw County,Crenshaw County,13194,0.0,9671,0,236939.7,13194,164,1087.0,5680,383.0,6,0.0,0.0,0.0,0.012429892375322117,0.7329846900106108,0.0,17.958140063665304,0.1913732394366197,0.06742957746478873,0.0,AL
