area,counties,E1_exit_pct,E2_exit_pct,lost_2020_2025_pct,new_2020_2025_pct,locs_2025,poverty_median,urban_pop_share_pct,lila_pop_share_pct,addr_per_10k
TN,95,9.0,5.1,15.4,20.3,6575,15.7,61.1,3.9,9.5
AL,67,9.2,6.2,18.1,26.4,5011,18.4,50.6,3.8,10.0
AR,75,8.8,6.0,21.8,23.1,2559,18.8,50.3,6.6,8.5
GA,159,11.1,6.4,18.9,22.7,9601,17.3,70.0,5.7,9.0
KY,120,9.0,5.4,16.1,20.1,4448,18.1,52.6,2.1,9.9
MS,82,11.1,7.4,23.2,24.6,3100,21.2,43.2,3.2,10.5
MO,115,7.5,4.9,15.4,18.6,4895,14.2,66.0,3.9,8.0
NC,100,7.7,4.8,15.8,18.9,9012,15.0,62.2,5.7,8.6
VA,133,7.7,4.4,16.8,16.3,6009,11.6,73.8,3.7,7.0
Neighboring states,851,9.0,5.6,17.7,20.9,44635,16.7,62.5,4.6,8.7
Rest of U.S.,2180,8.7,4.9,15.6,19.4,196090,12.4,79.8,2.6,7.2
United States,3126,8.8,5.0,16.0,19.7,247300,13.3,76.7,3.0,7.5
