pov_q,group,stock,exits,rate,w
1,Convenience,292763,29177,0.09966081779459836,0.40032243155508274
1,Grocery,229449,14200,0.06188739109780387,0.31374723444520713
1,Large store,180997,5962,0.032939772482416835,0.24749425010734044
1,Other,1111,74,0.0666066606660666,0.0015191749690285211
1,Specialty,26998,3409,0.12626861248981405,0.036916908923341145
2,Convenience,380729,40400,0.10611222155391367,0.443081667684967
2,Grocery,270896,16865,0.062256364065914595,0.3152611212941142
2,Large store,178723,6319,0.03535638949659529,0.207992784614937
2,Other,774,92,0.11886304909560723,0.0009007593610892904
2,Specialty,28153,4135,0.14687599900543458,0.032763667044892496
3,Convenience,511297,59429,0.11623185741359718,0.45522064486260055
3,Grocery,363718,28479,0.07829967172369803,0.3238273303151306
3,Large store,204840,7927,0.038698496387424335,0.1823742304250858
3,Other,857,118,0.13768961493582263,0.0007630087652523849
3,Specialty,42473,6511,0.15329738892943753,0.03781478563193062
4,Convenience,382771,45172,0.11801312011620525,0.4653371701028609
4,Grocery,276454,18129,0.06557691333820455,0.3360869084220495
4,Large store,132545,4925,0.03715719189709155,0.1611358102136361
4,Other,841,88,0.10463733650416171,0.001022409116825742
4,Specialty,29956,4446,0.14841767926291896,0.03641770214462773
5,Convenience,328928,42815,0.13016526413075202,0.47089948604887544
5,Grocery,244009,24238,0.09933240167370876,0.3493278550056549
5,Large store,93415,4066,0.04352620028903281,0.13373466378434096
5,Other,519,118,0.22736030828516376,0.0007430101215444303
5,Specialty,31639,4964,0.15689497139606182,0.045294985039584255
